,WIFI_0_BSSID,WIFI_1_BSSID,WIFI_2_BSSID,WIFI_3_BSSID,WIFI_4_BSSID,WIFI_0_LEVEL,WIFI_1_LEVEL,WIFI_2_LEVEL,WIFI_3_LEVEL,WIFI_4_LEVEL,MAGNETIC_FIELD_uT
74,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:32,-54,-54,-55,-55,-58,38.06982432
75,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:32,-54,-54,-55,-55,-58,34.66540329
76,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:32,-54,-54,-55,-55,-58,33.80058962
77,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:32,-54,-54,-55,-55,-58,37.68421388
78,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:32,-54,-54,-55,-55,-58,46.01831751
79,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:32,-54,-54,-55,-55,-58,48.1995263
80,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:32,-54,-54,-55,-55,-58,51.92431767
81,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:32,-54,-54,-55,-55,-58,47.65758195
82,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:32,-54,-54,-55,-55,-58,32.33509848
83,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:32,-54,-54,-55,-55,-58,36.95973117
84,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:32,-54,-54,-55,-55,-58,32.69848682
85,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:32,-54,-54,-54,-55,-59,33.48693775
86,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:32,-54,-54,-54,-55,-59,35.09482655
87,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,-54,-58,-59,-59,-59,35.9945505
88,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,-54,-58,-59,-59,-59,33.08295533
89,f4:2e:7f:79:a3:32,f4:2e:7f:79:a4:76,f4:2e:7f:79:a4:73,f4:2e:7f:79:a4:74,f4:2e:7f:79:a4:75,-53,-68,-68,-68,-68,38.80484243
90,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-54,-60,-60,-60,-60,36.91438244
91,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:32,-53,-53,-53,-54,-55,39.33296367
92,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:32,-53,-53,-53,-54,-55,39.57395328
93,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-60,-63,-63,-63,-63,40.41529711
94,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:32,f4:2e:7f:79:a4:63,f4:2e:7f:79:a4:62,-60,-61,-63,-64,-64,40.29923777
95,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:32,f4:2e:7f:79:a4:63,f4:2e:7f:79:a4:62,-60,-61,-63,-64,-64,40.19723407
96,f4:2e:7f:79:a3:32,f4:2e:7f:79:a4:65,f4:2e:7f:79:a4:62,f4:2e:7f:79:a4:64,f4:2e:7f:79:a4:66,-52,-61,-62,-63,-63,36.73933765
97,f4:2e:7f:79:a3:23,f4:2e:7f:79:a3:22,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:24,f4:2e:7f:79:a3:33,-55,-55,-56,-56,-62,39.3972175
98,f4:2e:7f:79:a3:23,f4:2e:7f:79:a3:22,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:24,f4:2e:7f:79:a3:33,-55,-55,-56,-56,-62,36.67783625
99,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-51,-54,-54,-54,-54,35.9739014
100,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-51,-54,-54,-54,-54,37.60008129
101,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:32,-51,-52,-52,-52,-54,35.10302047
102,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:32,-51,-52,-52,-52,-54,33.12993404
103,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:25,-51,-51,-51,-51,-52,34.10710955
104,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:32,-58,-58,-58,-58,-61,34.24416329
105,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:32,-58,-58,-58,-58,-61,34.01618483
106,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-50,-52,-52,-52,-52,36.23511278
107,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-50,-51,-51,-51,-51,31.16370703
108,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-47,-52,-52,-52,-52,30.52720055
109,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-47,-52,-52,-52,-52,28.29620418
110,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-54,-57,-57,-57,-57,31.56757675
111,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:33,-50,-56,-56,-56,-57,44.51914858
112,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:32,-46,-46,-46,-46,-55,51.84809167
113,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:34,-42,-42,-42,-44,-44,32.24143691
114,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:34,-42,-42,-42,-44,-44,39.97903503
115,f4:2e:7f:79:a3:32,f4:2e:7f:79:a4:73,f4:2e:7f:79:a4:74,f4:2e:7f:79:a4:75,f4:2e:7f:79:a4:76,-45,-70,-70,-70,-71,33.83044882
116,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,-46,-47,-47,-48,-48,37.71333038
117,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,-46,-47,-47,-48,-48,29.9734746
118,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-53,-53,-53,-53,-53,33.14651608
119,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:33,-43,-55,-55,-55,-56,41.7800039
120,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-40,-46,-46,-46,-46,27.96036995
121,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-40,-46,-46,-46,-46,35.20527138
122,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:32,-53,-53,-53,-53,-56,44.64976554
123,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:32,-53,-53,-53,-53,-56,41.46802879
124,f4:2e:7f:79:a3:30,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-63,-64,-64,-64,-64,42.16976045
125,f4:2e:7f:79:a3:22,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-63,-64,-64,-64,-64,42.39004907
126,f4:2e:7f:79:a3:22,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-63,-64,-64,-64,-64,42.69703436
127,f4:2e:7f:79:a3:23,f4:2e:7f:79:a3:22,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,-67,-67,-72,-77,-77,44.13204563
128,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:33,-52,-54,-54,-54,-55,48.93436941
129,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:33,-52,-54,-54,-54,-55,42.02343242
130,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:32,-44,-44,-44,-45,-46,43.49118198
131,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:32,-54,-54,-54,-54,-62,45.13264008
132,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-54,-54,-54,-54,-54,45.84009923
133,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,-47,-52,-53,-53,-53,42.13412132
