WIFI_0_BSSID,WIFI_1_BSSID,WIFI_2_BSSID,WIFI_3_BSSID,WIFI_4_BSSID,WIFI_0_LEVEL,WIFI_1_LEVEL,WIFI_2_LEVEL,WIFI_3_LEVEL,WIFI_4_LEVEL,MAGNETIC_FIELD_uT
84,85,86,83,82,-54,-54,-54,-55,-58,37.10042162
82,83,84,85,86,-55,-57,-57,-57,-57,37.02961824
82,83,84,85,86,-55,-57,-57,-57,-57,35.97271373
83,84,85,86,82,-50,-50,-50,-50,-54,33.81606309
83,84,85,86,82,-50,-50,-50,-50,-54,38.05427771
83,84,85,86,77,-54,-54,-54,-54,-57,41.0902268
83,84,85,86,82,-51,-51,-51,-52,-57,46.29898694
83,84,85,86,82,-51,-51,-51,-52,-57,46.92133387
82,83,84,85,86,-45,-49,-49,-49,-49,45.51698741
82,83,84,85,86,-45,-51,-51,-51,-51,34.47439465
82,83,84,85,86,-45,-51,-51,-51,-51,38.24749628
77,76,80,78,79,-46,-46,-46,-47,-47,42.57869552
83,84,85,86,82,-55,-55,-55,-55,-60,42.85618922
83,84,85,86,82,-55,-55,-55,-55,-60,34.73957592
83,84,85,86,81,-35,-35,-35,-35,-35,37.80743445
82,83,84,85,86,-46,-50,-50,-50,-50,33.60575185
82,83,84,85,86,-46,-50,-50,-50,-50,35.71218601
83,84,85,86,77,-52,-53,-53,-53,-56,36.91250575
83,84,85,86,77,-52,-53,-53,-53,-56,36.56040325
82,77,83,84,85,-53,-59,-59,-59,-59,35.16907752
82,77,83,84,85,-53,-59,-59,-59,-59,37.5733235
77,76,78,79,82,-56,-56,-56,-57,-58,35.0349644
82,81,93,94,95,-48,-54,-65,-65,-65,37.8107712
82,81,93,94,95,-48,-54,-65,-65,-65,42.44715234
83,84,85,86,82,-54,-54,-54,-54,-57,39.43039568
83,84,85,86,82,-54,-54,-54,-54,-57,39.23692775
82,83,84,85,86,-49,-52,-52,-52,-52,38.76364112
82,83,84,85,86,-49,-52,-52,-52,-52,43.85633701
76,78,77,79,80,-67,-68,-69,-69,-69,36.68713067
76,78,77,79,80,-67,-68,-69,-69,-69,39.26105786
84,85,86,83,82,-52,-52,-52,-53,-54,46.19869409
82,86,83,84,85,-47,-49,-50,-50,-50,48.99445421
82,84,85,86,83,-51,-55,-55,-55,-56,45.46347961
82,84,85,86,83,-51,-55,-55,-55,-56,33.43544094
82,84,85,86,83,-51,-55,-55,-55,-56,38.10556305
82,84,85,86,83,-51,-55,-55,-55,-56,34.70583166
82,84,85,86,83,-51,-55,-55,-55,-56,36.7362774
82,84,85,86,83,-51,-55,-55,-55,-56,37.33810594
82,84,85,86,83,-51,-55,-55,-55,-56,37.25380283
83,84,85,86,82,-53,-53,-53,-53,-55,36.68102118
84,85,86,83,90,-51,-51,-51,-52,-55,36.6878843
84,85,86,83,90,-51,-51,-51,-52,-55,35.93382454
83,84,85,86,82,-49,-49,-49,-50,-51,34.99406688
83,84,85,86,82,-51,-51,-51,-51,-62,45.82060222
83,84,85,86,82,-51,-51,-51,-51,-62,46.12925804
77,83,84,85,86,-62,-62,-62,-62,-62,46.27167197
77,83,84,85,86,-62,-62,-62,-62,-62,46.1358309
78,79,80,82,83,-57,-60,-61,-66,-66,45.47597129
86,83,84,85,82,-60,-61,-61,-61,-70,41.12346537
72,73,74,75,71,-51,-51,-51,-51,-52,36.52717645
31,40,30,32,78,-75,-83,-83,-87,-89,35.76991496
31,40,30,32,78,-75,-83,-83,-87,-89,34.20089431
31,40,30,32,78,-75,-83,-83,-87,-89,39.11562793
31,40,30,32,78,-75,-83,-83,-87,-89,37.1505331
31,40,30,32,78,-75,-83,-83,-87,-89,38.48643354
31,40,30,32,78,-75,-83,-83,-87,-89,39.98304236
31,40,30,32,78,-75,-83,-83,-87,-89,42.34572182
31,40,30,32,78,-75,-83,-83,-87,-89,43.60645116
31,40,30,32,78,-75,-83,-83,-87,-89,38.47615879
31,40,30,32,78,-75,-83,-83,-87,-89,37.28406907
31,40,30,32,78,-75,-83,-83,-87,-89,36.94811343
31,40,30,32,78,-75,-83,-83,-87,-89,39.78019901
31,40,30,32,78,-75,-83,-83,-87,-89,39.6880398
31,40,30,32,78,-75,-83,-83,-87,-89,40.59504605
31,40,30,32,78,-75,-83,-83,-87,-89,42.55370573
54,60,63,61,62,-82,-82,-82,-82,-83,43.26179335
54,60,63,61,62,-82,-82,-82,-82,-83,44.65456747
55,56,57,58,54,-80,-80,-80,-80,-81,43.08195174
60,62,63,64,61,-67,-67,-67,-67,-67,44.77731632
60,62,63,64,61,-67,-67,-67,-67,-67,41.33566064
69,54,55,56,57,-80,-81,-81,-81,-82,39.53855849
69,54,55,56,57,-80,-81,-81,-81,-82,42.47334585
69,54,55,56,57,-80,-81,-81,-81,-82,45.71834682
69,54,55,56,57,-80,-81,-81,-81,-82,44.12130246
69,54,55,56,57,-80,-81,-81,-81,-82,42.90450453
