WIFI_0_BSSID,WIFI_1_BSSID,WIFI_2_BSSID,WIFI_3_BSSID,WIFI_4_BSSID,WIFI_0_LEVEL,WIFI_1_LEVEL,WIFI_2_LEVEL,WIFI_3_LEVEL,WIFI_4_LEVEL,MAGNETIC_FIELD_uT,LOCATION,
f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f2,f4:2e:7f:79:a3:36,-52,-52,-53,-57,-70,51.30460363,indoor,
f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f2,f4:2e:7f:79:a3:36,-52,-52,-53,-57,-70,50.18303656,indoor,
f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f2,-60,-60,-60,-60,-61,50.23880472,indoor,
f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f2,-65,-65,-65,-66,-68,50.03965469,indoor,
f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f2,-65,-65,-65,-66,-68,54.87699758,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-62,-75,-75,-75,-75,60.03435093,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-62,-75,-75,-75,-75,60.09349405,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f6,-60,-64,-65,-65,-65,60.13316115,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f6,-60,-64,-65,-65,-65,45.71815458,indoor,
f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f2,-57,-57,-57,-57,-57,37.41739926,indoor,
f4:2e:7f:79:a3:26,f4:2e:7f:79:a3:25,f4:2e:7f:79:a3:24,f4:2e:7f:79:a3:23,f4:2e:7f:79:a3:32,-63,-63,-63,-63,-69,30.76166592,indoor,
f4:2e:7f:79:a3:26,f4:2e:7f:79:a3:25,f4:2e:7f:79:a3:24,f4:2e:7f:79:a3:23,f4:2e:7f:79:a3:32,-63,-63,-63,-63,-69,30.96258946,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,-57,-62,-63,-63,-63,31.01701823,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:a3:26,-55,-58,-58,-58,-65,30.70994974,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:a3:23,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,-58,-63,-68,-68,-68,29.50269577,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:a3:23,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,-58,-63,-68,-68,-68,32.67873404,indoor,
f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f2,-59,-60,-60,-60,-60,32.79066424,indoor,
f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f2,-59,-60,-60,-60,-60,32.68671202,indoor,
f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,-58,-58,-59,-59,-59,32.76588579,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:a3:25,f4:2e:7f:79:a3:24,f4:2e:7f:79:a3:23,f4:2e:7f:79:a3:26,-56,-60,-61,-61,-62,36.5345847,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:a3:25,f4:2e:7f:79:a3:24,f4:2e:7f:79:a3:23,f4:2e:7f:79:a3:26,-56,-60,-61,-61,-62,36.52689238,indoor,
f4:2e:7f:79:a3:26,f4:2e:7f:79:a3:25,f4:2e:7f:79:a3:24,f4:2e:7f:79:a3:23,f4:2e:7f:79:a3:22,-55,-55,-55,-55,-55,36.6103703,indoor,
f4:2e:7f:79:a3:26,f4:2e:7f:79:a3:25,f4:2e:7f:79:a3:24,f4:2e:7f:79:a3:23,f4:2e:7f:79:a3:22,-55,-55,-55,-55,-55,37.35436401,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f0,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f3,-54,-55,-57,-57,-58,35.02151613,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f0,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,f4:2e:7f:79:98:f3,-54,-55,-57,-57,-58,34.92401594,indoor,
f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,-54,-55,-55,-56,-56,34.89444183,indoor,
f4:2e:7f:79:98:f2,f4:2e:7f:79:98:f3,f4:2e:7f:79:98:f4,f4:2e:7f:79:98:f5,f4:2e:7f:79:98:f6,-58,-62,-62,-62,-62,37.36990291,indoor,
