WIFI_0_BSSID,WIFI_1_BSSID,WIFI_2_BSSID,WIFI_3_BSSID,WIFI_4_BSSID,WIFI_0_LEVEL,WIFI_1_LEVEL,WIFI_2_LEVEL,WIFI_3_LEVEL,WIFI_4_LEVEL,MAGNETIC_FIELD_uT
74,71,72,73,75,-60,-61,-61,-61,-61,40.37210347
60,61,62,63,64,-59,-61,-61,-61,-61,42.58736568
70,71,72,73,74,-61,-61,-61,-61,-61,43.57269457
70,71,72,73,74,-61,-61,-61,-61,-61,43.72623238
70,71,72,73,74,-61,-61,-61,-61,-61,40.23506978
70,71,72,73,74,-61,-61,-61,-61,-61,37.294885
60,61,62,63,71,-52,-56,-56,-56,-56,37.48994983
60,70,71,72,73,-53,-55,-56,-57,-57,39.70551695
60,70,71,72,73,-53,-55,-56,-57,-57,34.81785403
70,71,72,73,74,-54,-54,-54,-54,-54,34.07445676
61,62,63,64,60,-54,-54,-54,-55,-57,36.72367819
61,62,63,64,60,-54,-54,-54,-55,-57,35.04634905
70,71,72,73,74,-58,-58,-58,-58,-58,35.05259197
70,71,72,73,74,-58,-58,-58,-58,-58,35.11494275
70,71,72,73,74,-58,-58,-58,-58,-58,35.10225019
70,71,72,73,74,-58,-58,-58,-58,-58,35.16647074
71,72,73,74,75,-57,-57,-57,-57,-57,35.07117832
71,72,73,74,75,-57,-57,-57,-57,-57,35.5091455
70,71,69,72,73,-58,-58,-59,-59,-59,28.11037597
70,71,69,72,73,-58,-58,-59,-59,-59,32.42779878
70,71,72,75,73,-46,-46,-46,-46,-47,41.3505064
61,62,63,64,70,-51,-51,-51,-51,-51,35.9588829
61,62,63,64,70,-51,-51,-51,-51,-51,34.5386428
70,71,72,73,74,-56,-56,-56,-56,-56,47.36252464
64,70,71,72,73,-55,-55,-55,-55,-55,50.92075309
64,70,71,72,73,-55,-55,-55,-55,-55,50.9995548
60,61,62,63,64,-52,-54,-55,-55,-56,55.79185605
60,61,62,63,64,-52,-54,-55,-55,-56,45.39599796
70,71,72,73,74,-52,-52,-52,-52,-52,38.88538597
70,71,72,73,74,-52,-52,-52,-52,-52,37.08835754
70,71,72,73,74,-52,-52,-52,-52,-52,37.33820075
70,71,72,73,74,-52,-52,-52,-52,-52,45.73527715
60,57,58,55,56,-50,-57,-57,-58,-58,56.51853868
60,70,72,73,74,-47,-59,-59,-59,-59,52.08542131
60,70,72,73,74,-47,-59,-59,-59,-59,55.05706823
61,62,63,64,71,-49,-49,-49,-49,-51,35.91566252
61,62,63,64,71,-49,-49,-49,-49,-51,36.72625256
61,57,58,60,62,-64,-64,-64,-65,-65,35.80760322
60,61,62,63,64,-46,-48,-48,-48,-48,42.88163043
60,61,62,63,64,-46,-48,-48,-48,-48,43.55012098
93,95,92,94,96,-58,-58,-58,-59,-59,39.74522746
87,88,90,91,89,-67,-71,-72,-72,-73,36.30695115
87,88,90,91,89,-67,-71,-72,-72,-73,39.37889056
93,94,96,97,95,-54,-54,-54,-54,-55,45.40470683
93,94,95,96,97,-52,-52,-52,-52,-52,47.16920951
93,94,95,96,97,-52,-52,-52,-52,-52,46.09926874
93,94,95,96,97,-56,-56,-56,-56,-56,43.47521828
93,94,95,96,97,-56,-56,-56,-56,-56,47.19956386
93,97,94,95,96,-52,-54,-55,-55,-55,48.06644165
93,94,95,96,97,-57,-59,-59,-59,-59,50.07188192
93,94,95,96,97,-57,-59,-59,-59,-59,52.08074551
93,94,95,96,97,-47,-51,-52,-52,-52,50.50642943
93,94,95,96,97,-47,-51,-52,-52,-52,50.93147012
96,97,93,94,95,-53,-53,-54,-54,-54,51.71277817
93,95,96,97,82,-57,-57,-57,-57,-85,50.2112967
93,95,96,97,82,-57,-57,-57,-57,-85,38.85244303
93,94,95,96,97,-48,-50,-50,-50,-50,35.7084036
93,94,95,96,97,-57,-57,-58,-58,-58,29.76421215
93,94,95,96,97,-57,-57,-58,-58,-58,29.40243171
94,95,96,97,93,-50,-50,-50,-50,-55,31.04089415
94,95,96,97,93,-36,-36,-36,-36,-48,38.96940626
93,94,95,96,97,-41,-42,-42,-42,-42,55.01360139
93,94,95,96,97,-41,-42,-42,-42,-42,46.03734897
93,94,95,96,97,-62,-63,-63,-63,-63,45.73350753
93,97,94,96,88,-50,-52,-53,-53,-55,43.89806279
94,95,96,97,93,-47,-47,-47,-47,-49,38.25040211
94,95,96,97,93,-47,-47,-47,-47,-49,43.29015308
90,88,91,93,95,-52,-52,-52,-54,-55,43.17083869
94,95,93,97,96,-52,-52,-53,-53,-54,43.48588386
94,95,93,97,96,-52,-52,-53,-53,-54,43.76072553
93,94,95,96,97,-50,-54,-54,-54,-54,39.31401527
89,93,90,91,87,-56,-57,-57,-58,-61,36.65652973
84,85,83,86,89,-57,-57,-58,-58,-61,41.77613095
82,44,45,47,43,-57,-80,-80,-80,-81,39.44861979
82,79,77,83,84,-52,-60,-60,-60,-60,47.17827414
82,83,84,85,86,-49,-51,-51,-51,-51,48.32348982
82,83,84,85,86,-49,-51,-51,-51,-51,48.16018904
83,84,85,86,82,-52,-52,-55,-55,-56,45.97116379
82,77,78,79,80,-39,-51,-51,-52,-52,37.77245103
82,77,78,79,80,-39,-51,-51,-52,-52,42.97576789
82,85,86,83,84,-56,-60,-60,-61,-61,39.88971001
82,85,86,83,84,-56,-60,-60,-61,-61,36.53621351
77,78,76,80,79,-48,-48,-49,-50,-51,36.79844244
82,83,84,85,86,-50,-50,-50,-50,-50,37.47810884
82,83,84,85,86,-50,-50,-50,-50,-50,39.45448327
82,83,81,84,85,-57,-61,-61,-62,-62,39.97888389
83,84,85,82,86,-58,-58,-58,-59,-59,36.56324285
83,84,85,82,86,-58,-58,-58,-59,-59,36.74003871
85,86,83,84,82,-47,-47,-48,-48,-50,38.69093596
83,84,85,86,82,-54,-54,-54,-54,-56,50.69743805
86,82,83,84,85,-59,-60,-60,-60,-60,41.44400107
86,82,83,84,85,-59,-60,-60,-60,-60,39.7116253
82,86,85,83,84,-49,-52,-53,-55,-55,56.33121307
82,83,84,85,86,-48,-50,-50,-50,-50,51.23888265
82,83,84,85,86,-48,-50,-50,-50,-50,48.75349296
83,85,86,82,84,-46,-46,-46,-47,-47,29.73469111
83,85,86,82,84,-46,-46,-46,-47,-47,41.00108969
83,84,85,86,82,-54,-54,-54,-54,-55,36.72538836
82,83,84,80,85,-55,-58,-58,-59,-59,37.91494065
82,83,84,80,85,-55,-58,-58,-59,-59,38.43642338
83,84,85,86,82,-48,-48,-48,-48,-52,35.25769392
83,84,85,86,82,-53,-53,-53,-53,-54,36.8890896
83,84,85,86,82,-53,-53,-53,-53,-54,35.84998345
49,53,50,51,52,-50,-59,-60,-60,-60,34.13249331
49,53,50,51,52,-50,-59,-60,-60,-60,34.15263304
49,50,51,52,53,-47,-49,-49,-49,-49,34.61676875
49,50,52,53,51,-50,-52,-53,-53,-55,35.07541923
50,51,52,49,53,-53,-53,-53,-53,-54,35.88248677
49,50,51,52,53,-58,-60,-60,-60,-60,36.14853459
49,50,52,53,51,-54,-59,-59,-59,-60,35.97725383
49,50,51,52,53,-56,-61,-62,-62,-62,34.5175878
49,50,51,52,53,-56,-61,-62,-62,-62,34.77515319
49,77,82,83,86,-54,-67,-69,-69,-69,34.87181815
49,77,82,83,86,-54,-67,-69,-69,-69,40.60850326
49,50,51,52,53,-57,-61,-61,-61,-62,40.66425387
51,52,53,50,49,-55,-55,-55,-56,-57,40.2193024
51,52,53,50,49,-55,-55,-55,-56,-57,38.89855126
49,50,51,52,53,-55,-57,-57,-57,-57,38.16375464
49,53,50,51,52,-53,-54,-55,-55,-55,35.61193908
49,53,50,51,52,-53,-54,-55,-55,-55,36.57072891
50,51,52,53,80,-57,-57,-57,-57,-60,35.56542442
50,51,52,53,80,-57,-57,-57,-57,-60,31.35272666
50,51,52,53,49,-52,-52,-52,-52,-60,32.59339608
50,52,53,51,49,-52,-52,-52,-54,-55,32.88076418
50,52,53,51,49,-52,-52,-52,-54,-55,33.8296586
49,50,51,52,53,-49,-51,-51,-51,-51,35.0453668
49,50,51,52,53,-50,-53,-53,-53,-53,37.68582377
49,50,51,52,53,-50,-53,-53,-53,-53,39.54125059
50,51,52,53,49,-51,-51,-51,-51,-52,34.85130594
50,51,52,53,49,-51,-51,-51,-51,-52,41.27259384
49,50,51,52,53,-56,-57,-57,-57,-57,41.33847785
94,93,95,96,97,-81,-82,-82,-82,-82,39.20474725
94,93,95,96,97,-81,-82,-82,-82,-82,39.08062704
78,80,85,86,82,-76,-76,-76,-76,-77,40.30745033
82,83,84,85,86,-76,-76,-76,-77,-77,40.70262116
84,85,86,83,50,-72,-72,-72,-73,-75,40.00407694
84,85,86,83,50,-72,-72,-72,-73,-75,38.23422175
84,85,86,83,50,-72,-72,-72,-73,-75,39.77686175
84,85,86,83,50,-72,-72,-72,-73,-75,40.73753794
84,85,86,83,50,-72,-72,-72,-73,-75,44.28135475
49,50,51,52,53,-70,-70,-70,-70,-70,43.4568527
49,50,51,52,53,-70,-70,-70,-70,-70,36.22914271
49,50,51,52,53,-70,-70,-70,-70,-70,38.86187542
46,47,45,49,48,-74,-74,-75,-76,-78,35.75601252
46,47,45,49,48,-74,-74,-75,-76,-78,36.56592532
49,51,50,52,53,-74,-79,-80,-80,-80,39.2149385
49,51,50,52,53,-74,-79,-80,-80,-80,36.1624414
77,80,49,50,51,-80,-80,-80,-80,-80,39.76900465
49,39,46,53,45,-86,-86,-88,-89,-90,37.49261809
83,84,85,86,90,-76,-76,-76,-76,-80,34.91988424
87,88,92,93,94,-78,-80,-81,-85,-85,42.35858539
87,89,90,96,97,-78,-78,-78,-79,-79,37.21408582
89,91,90,88,87,-79,-79,-80,-80,-81,49.19292229
87,93,94,95,96,-73,-76,-76,-76,-76,41.88452842
93,94,96,97,95,-74,-76,-76,-76,-77,40.24239756
93,94,96,97,95,-74,-76,-76,-76,-77,35.31226839
96,94,95,97,87,-71,-72,-72,-72,-73,35.92818324
93,94,95,96,97,-75,-75,-75,-75,-75,35.89629601
94,95,96,97,93,-77,-77,-77,-77,-78,36.26805181
94,95,96,97,93,-77,-77,-77,-77,-78,36.01916672
94,95,96,97,93,-77,-77,-77,-77,-78,36.01790597
94,95,93,96,97,-74,-74,-75,-75,-75,36.0480941
94,95,96,97,93,-73,-73,-73,-73,-74,35.98024462
93,94,95,96,97,-75,-75,-75,-75,-75,36.16546751
90,88,89,91,93,-75,-75,-76,-76,-81,36.16757871
90,88,89,91,93,-75,-75,-76,-76,-81,36.33561079
90,88,89,91,93,-75,-75,-76,-76,-81,36.12175422
90,88,89,91,93,-75,-75,-76,-76,-81,36.07195466
90,88,89,91,93,-75,-75,-76,-76,-81,35.98919855
97,94,95,96,89,-73,-74,-74,-74,-76,36.16404647
97,94,95,96,89,-73,-74,-74,-74,-76,36.01841265
94,95,96,97,92,-73,-74,-74,-74,-74,35.90232484
94,95,96,97,93,-73,-73,-73,-73,-74,35.85838949
94,95,96,97,93,-73,-73,-73,-73,-74,35.91056056
94,95,96,97,93,-72,-72,-72,-72,-76,35.95191796
94,95,96,97,93,-72,-72,-72,-72,-76,36.37453353
97,95,96,93,94,-74,-75,-75,-76,-76,36.08841445
97,95,96,93,94,-74,-75,-75,-76,-76,35.59324242
93,94,95,96,97,-76,-77,-77,-77,-77,35.92165921
93,94,95,96,97,-76,-77,-77,-77,-77,35.81666847
93,94,95,96,97,-76,-77,-77,-77,-77,35.94137038
93,94,95,96,97,-76,-77,-77,-77,-77,35.89713086
93,94,95,96,97,-75,-75,-75,-75,-75,34.6194134
93,94,95,96,97,-75,-75,-75,-75,-75,39.89870903
94,95,96,97,92,-76,-76,-76,-76,-76,40.76370701
94,95,96,97,92,-76,-76,-76,-76,-76,41.04322881
88,87,93,94,95,-71,-71,-76,-78,-78,40.97838637
88,87,93,94,95,-71,-71,-77,-78,-78,40.96169073
88,87,93,94,95,-71,-71,-77,-78,-78,40.99579282
91,87,89,90,88,-66,-66,-67,-67,-67,40.94833468
91,87,89,90,88,-66,-66,-67,-67,-67,41.41715069
89,90,87,91,93,-72,-72,-72,-73,-74,37.47883843
89,90,87,91,93,-72,-72,-72,-73,-74,37.01527378
96,97,94,95,92,-84,-84,-85,-85,-85,57.00544579
95,94,97,93,96,-83,-84,-84,-85,-85,46.21006511
95,96,92,94,97,-80,-80,-80,-81,-81,38.62522755
95,96,92,94,97,-80,-80,-80,-81,-81,41.65416642
94,95,92,96,97,-80,-80,-80,-81,-81,42.42013118
94,95,92,96,97,-80,-80,-80,-81,-81,39.09103021
93,20,97,94,95,-81,-82,-83,-84,-85,34.82877516
93,20,97,94,95,-81,-82,-83,-84,-85,40.68183524
58,55,56,61,57,-82,-82,-82,-83,-84,40.661453
61,62,63,64,55,-65,-66,-66,-66,-71,39.45481277
